mean_ss_tvd,mean_ss_easting,mean_ss_northing,on_prod_date,frac_start_date,calc_completed_length_m,mean_proppant_per_stage_t,calc_total_proppant_t,total_gas_injected_m3,mean_fluid_per_stage_m3,calc_total_fluid_m3,avg_stage_length,avg_stage_spacing,mean_rate_m3_min,mean_stage_duration_min,mean_breakdown_mpa,mean_isip_mpa,fluid_intensity_comp_length_m3_m,proppant_intensity_comp_length_t_m,frac_duration_days,breakdown_isip_ratio,min_midpoint_dist,horiz_wells_in_10km,first_order_residual,isotherm,paleozoic_structure,raw_montney_top,third_order_residual,n_quakes
-1296.7654,542445.5761,6300996.015,43833891181.88601,43650451412.41778,1399.215385,107.4676923,1397.08,0,713.3307692000001,9273.3,99.01538462,93.38076923,10.86923077,65.10637632,37.98461538,32.69230769,6.627500027000001,0.99847387,2,1.161882353,215.35427599999997,1,71.34890797,94.58876249,-1419.051168,2128.404125,143.5255794,0
-940.7524419,561974.0419,6301024.685,43833891181.88601,43729850715.620445,1614.3,55.96571429,1175.28,0,496.9428571,10435.8,0.5,76.82380952,9.552380952,50.93136417,30.12,0.0,6.464597658,0.728043115,39,0.0,1845.201068,8,-59.63640809,72.31922899,-1198.027941,1863.3324300000002,2.782167375,0
-1128.7737880000002,557361.5973,6313574.719,44666214912.01051,44589553515.814835,1881.625,139.5,1116.0,0,1124.625,8997.0,165.125,194.75,8.625,131.373672,45.7725,24.9875,4.7815053480000005,0.593104365,4,1.831815908,2542.474746,6,-107.5694517,75.91834432,-1093.410152,1895.967455,-20.95169908,0
-1061.602581,556139.6418,6315798.241,44581339794.79387,44605980957.856766,1786.714286,146.1428571,1023.0,0,1195.885714,8371.2,186.21428569999998,203.5714286,9.214285713999999,130.79489170000002,52.55142857,27.42857143,4.685248261,0.572559367,2,1.9159375,4513.685062,6,-101.6675752,76.14947801,-1091.106722,1868.4976739999997,-10.39323914,0
-1061.2920179999999,530710.8511,6336224.907000001,44162440022.724625,43798298390.79516,1603.777778,157.22222219999998,1415.0,0,1381.666667,12435.0,111.7777778,158.63888889999998,9.266666667,151.5701545,37.0,23.12222222,7.753567965,0.882291811,9,1.600192215,47.0505186,7,-60.08331104,80.01798885,-1124.7272150000001,1938.3006030000001,87.55293126,0
-979.9437962999999,552857.9745,6328798.334,43916028392.095665,43625810249.35488,1767.3222219999998,153.8877778,1384.99,0,974.6888889,8772.2,128.1222222,176.4388889,10.58888889,83.73375022,34.85555556,22.58888889,4.963554404,0.78366581,20,1.543039843,2170.686651,4,-61.28292907,71.36938348,-1066.010327,1734.247941,55.29418124,0
-1085.1718460000002,562095.808,6314141.887999999,45665550969.56132,45701143760.65217,1904.7111109999998,59.23111111,1066.16,0,384.0944444,6913.7,147.61111110000002,93.06944444,5.755555556,67.73068508,42.67055556,4.137777778,3.6297892939999996,0.559748927,2,10.31243287,4777.851683,11,-62.02001693,68.76996926,-1113.660703,1836.696494,22.63591654,0
-926.7110309000001,557266.1458,6328160.771000001,43916028392.095665,43768181413.718285,1607.127273,143.18181819999998,1575.0,0,936.9,10305.9,91.42727273,133.1909091,9.845454545,94.62664161,38.27272727,22.60909091,6.412622183,0.980009503,2,1.692802573,3384.6007520000003,2,-90.38658608,78.17597495,-1020.8732,1754.126572,21.49713382,0
-1104.0604759999999,552967.0287,6311948.371,44247315139.94127,44198032813.815475,2017.0,175.0,1925.0,0,1398.363636,15382.0,119.5,161.5909091,9.563636364,147.0477852,60.50909091,28.58181818,7.626177491,0.954387705,15,2.117048346,17.01113758,2,-79.05360524,79.37893084,-1152.023618,1837.5170649999998,7.559698906,0
-1135.706641,556531.4411,6308498.9120000005,43582003737.243065,43565576295.20113,1414.307692,50.99230769,662.9,0,887.8230768999999,11541.7,108.8076923,91.34615385,6.015384615,169.68951069999997,59.35384615,37.57692308,8.160671163,0.46870988799999996,15,1.579529171,23.11840448,1,-91.43508928,76.33221123,-1144.935741,1883.8304210000001,-13.22854766,6
