unique_surv_id,wa_num,drilling_event,ground_elevtn,mean_ss_tvd,mean_ss_easting,mean_ss_northing,survey_well_type,on_prod_date,last_reported_date,cum_gas_to_date_e3m3,cum_oil_to_date_m3,cum_water_to_date_m3,cum_cond_to_date_m3,n_stages,frac_start_date,frac_end_date,calc_completed_length_m,mean_proppant_per_stage_t,sd_proppant_per_stage_t,max_proppant_per_stage_t,calc_total_proppant_t,total_gas_injected_m3,mean_fluid_per_stage_m3,sd_fluid_per_stage_m3,max_fluid_per_stage_m3,calc_total_fluid_m3,avg_stage_length,avg_stage_spacing,max_rate_m3_min,mean_rate_m3_min,max_stage_duration_min,mean_stage_duration_min,max_breakdown_mpa,sd_breakdown_mpa,mean_breakdown_mpa,max_isip_mpa,sd_isip_mpa,mean_isip_mpa,fluid_intensity_comp_length_m3_m,proppant_intensity_comp_length_t_m,completed_length_m,base_fluid_cat,viscosity_cat,energizer_bool,proppant_cat,frac_duration_days,calc_proppant_intensity_kg_m,calc_fluid_intensity_m3_m,breakdown_isip_ratio,no_prior_wells,no_surrounding_wells,min_midpoint_dist,min_dist_well,horiz_wells_in_1km,horiz_wells_in_5km,horiz_wells_in_10km,horiz_wells_in_25km,first_order_residual,isotherm,paleozoic_structure,raw_montney_top,third_order_residual,seismogenic,n_quakes
30101-0,30101,0,1056.9,-778.2778862,558517.2251,6338480.85,horizontal,10/1/2015,9/1/2019,49203.4,0,12740.2,4716.9,18,9/17/2015,9/19/2015,1720.055556,92.00555556,14.02919109,100,1656.1,0,1341.683333,314.3327765,2282.8,24150.3,0.955555556,95.07222222,11.7,10.43333333,256.494382,129.708697,62,5.939795996,46,29.6,2.502665246,27.03333333,14.04041859,0.962817738,1720.055556,water,slickwater,TRUE,sand,2,962.8177384,14.04041859,1.701602959,FALSE,FALSE,92.4908842,29976-0,2,7,16,16,-51.85230187,78.23770629,-989.5242142,1702.255753,76.87905165,TRUE,17
30102-0,30102,0,1057,-862.4616364,558447.5715,6338283.11,horizontal,10/1/2015,9/1/2019,33527.9,0,12592.6,2947.3,18,9/11/2015,9/14/2015,1684.811111,97.5,10.60660172,100,1755,0,1157.211111,253.5401207,1857.1,20829.8,0.911111111,93.14166667,10.7,10.19444444,221.0833333,115.2206823,50.9,3.106644787,43.87777778,#NAME?,NA,NA,12.36328504,1.041659797,1684.811111,water,slickwater,TRUE,sand,3,1041.659797,12.36328504,NA,FALSE,FALSE,174.3098441,29976-0,2,7,16,16,-52.49336756,78.0419774,-990.3487378,1703.54035,76.0283435,TRUE,20
30137-0,30137,0,1001.9,-844.1915455,555528.5839,6327022.184,horizontal,12/1/2014,9/1/2019,70551.1,0,4140.4,2151.7,19,11/16/2014,11/17/2014,1503.015789,90.16842105,0.702418545,92.6,1713.2,0,537.4421053,41.88472694,625.9,10211.4,1.315789474,78.92368421,10,9.578947368,80.4109589,56.96699243,49.9,8.744488657,33.40526316,24.9,1.039343022,22.66315789,6.793940604,1.139841652,1503.015789,water,slickwater,TRUE,sand,1,1139.841652,6.793940604,1.473989782,FALSE,FALSE,356.9901572,30138-0,3,8,10,12,-83.57798003,79.0070219,-1042.637336,1745.343687,27.61721418,FALSE,0
30138-0,30138,0,1001.2,-872.7402062,555886.358,6327004.886,horizontal,11/1/2014,9/1/2019,65738.5,0,4332.5,2061.3,21,11/20/2014,11/21/2014,1692.32381,80.06380952,26.87701071,90.8,1681.34,0,489.5095238,146.5238134,629,10279.7,1.323809524,80.41904762,10,8.80952381,Inf,Inf,54.2,8.28078873,32.64210526,31.2,5.697042169,22.545,6.074310331,0.993509629,1692.32381,water,slickwater,TRUE,sand,1,993.5096289,6.074310331,1.447864505,FALSE,FALSE,327.0852442,30139-2,2,7,8,10,-85.57599139,79.66288887,-1039.037666,1748.361545,25.40959793,FALSE,0
30139-2,30139,2,1000.8,-836.1909821,556233.365,6327043.033,horizontal,11/1/2014,9/1/2019,79287.7,0,4133.8,2365.3,22,11/18/2014,11/19/2014,1765.913636,89.91818182,0.315679711,90.5,1978.2,0,546.8454545,55.81343691,644.5,12030.6,1.913636364,79.78181818,10,9.318181818,80.5625,59.80309343,50,8.717574427,39.09090909,24.5,1.08261548,22.85909091,6.812677445,1.120213333,1765.913636,water,slickwater,TRUE,sand,1,1120.213333,6.812677445,1.710081527,FALSE,FALSE,298.6665138,30140-0,2,6,7,9,-87.15888133,79.9733191,-1035.522314,1750.890247,23.74199361,FALSE,0
30140-0,30140,0,1000.5,-853.8436508,556485.6137,6327165.922,horizontal,11/1/2014,9/1/2019,112344.9,0,4623,3908.1,23,11/14/2014,11/16/2014,2026.73913,90.05217391,9.686441769,103.3,2071.2,0,577.9130435,56.09630764,716,13292,1.939130435,87.61956522,10,9.326086957,95.46666667,63.04948251,50.1,8.07880651,35.05652174,29.5,2.659668023,24.62608696,6.558318138,1.021937145,2026.73913,water,slickwater,TRUE,sand,2,1021.937145,6.558318138,1.42355226,FALSE,FALSE,298.6665138,30139-2,2,7,8,9,-88.20445008,80.00423752,-1032.64296,1752.597459,22.69663905,FALSE,0
30141-0,30141,0,1000.5,-968.0666981,556069.4287,6326998.702,horizontal,1/1/2015,9/1/2019,61593.7,0,9222.1,2503.7,22,11/11/2014,11/13/2014,1814.627273,89.49772727,20.37102563,97.2,1968.95,0,603.4045455,149.1877611,826.3,13274.9,1.927272727,81.99545455,10,8.663636364,150.2363636,73.67255707,53.1,7.460202346,35.15238095,24.2,1.704568166,21.815,7.315496796,1.085043761,1814.627273,water,slickwater,TRUE,sand,2,1085.043761,7.315496796,1.611385787,FALSE,FALSE,166.0729943,30139-2,4,9,10,12,-86.54467052,79.92963332,-1037.221654,1749.951002,24.33070579,FALSE,0
30160-0,30160,0,948.1,-843.0142478,540438.5798,6334023.636,horizontal,5/1/2015,9/1/2019,65182.1,0,8618,5089.8,10,11/13/2014,11/27/2014,1866.94,161.46,23.63681451,175.5,1614.6,0,1530.6,269.7431206,1980.7,15306,112.44,164.2,10,8.6,275.0972222,182.4574749,60,3.770720532,55.75,#NAME?,NA,NA,8.198442371,0.864837649,1866.94,water,slickwater,TRUE,sand,14,864.8376488,8.198442371,NA,FALSE,FALSE,133.903485,29830-0,2,12,19,19,-116.7630032,75.24649564,-1035.860279,1751.295171,19.04516946,FALSE,0
30161-0,30161,0,947.5,-913.1838462,540431.1609,6334316.581,horizontal,5/1/2015,9/1/2019,35329.2,0,3416.7,2908.3,13,11/12/2014,11/30/2014,2007.653846,95.69230769,61.75349466,179.8,1244,0,1673.323077,541.0406903,2226,21753.2,121.1538462,136.1923077,10,7.530769231,341.46875,222.0785948,60.8,1.980384578,58.67692308,44.7,3.618329406,38.03076923,10.83513477,0.619628729,2007.653846,water,slickwater,FALSE,sand,18,619.6287285,10.83513477,1.542880259,FALSE,FALSE,206.9678806,29830-0,2,12,19,19,-116.432326,74.77870973,-1034.584206,1746.392328,19.76244465,FALSE,0
30168-0,30168,0,970.5,-737.333945,549903.0778,6350357.396,horizontal,5/1/2016,9/1/2019,32742.3,0,2391.8,1985.9,10,2/22/2015,3/6/2015,1770.25,175.72,1.417979784,179.2,1757.2,0,1109.32,67.83550037,1252.8,11093.2,114.75,153.975,11.3,10.87,127.8367347,102.431507,61.2,3.012566274,56.9,25.3,0.643687295,24.11,6.26645954,0.99262816,1770.25,water,slickwater,TRUE,sand,12,992.6281599,6.26645954,2.360016591,FALSE,FALSE,17.56685122,29967-0,2,11,24,24,-49.66133635,71.17400503,-958.0474264,1625.902142,107.7761836,FALSE,0
30169-0,30169,0,970.6,-815.6198947,549827.0068,6350155.396,horizontal,3/1/2015,9/1/2019,60705.1,0,4664.9,8224.5,10,2/22/2015,3/6/2015,1738.05,174.29,2.737578005,177.1,1742.9,0,1268.32,199.2113105,1646,12683.2,113.55,151.175,11.2,10.58,161.372549,120.9398095,58.9,2.357046174,55.47,26.2,0.95597536,24.75,7.297373493,1.002790484,1738.05,water,slickwater,TRUE,sand,12,1002.790484,7.297373493,2.241212121,FALSE,FALSE,194.0550273,29967-0,1,6,11,11,-48.74922466,71.10489139,-960.4828188,1623.265117,108.5066862,FALSE,0
30180-0,30180,0,967.2,-880.2920536,536361.2679,6336402.581,horizontal,2/1/2015,9/1/2019,54478.1,0,8736.6,427.4,10,1/15/2015,1/28/2015,1666.3,157.696,55.41643423,177.47,1576.96,0,1405.56,528.8258991,1924.9,14055.6,120.3,142.7,10.5,7.72,240.6125,173.5492463,63,3.096817363,58.35555556,26.3,1.380861245,24.47,8.435215747,0.946384205,1666.3,water,slickwater,TRUE,sand,13,946.3842045,8.435215747,2.384779549,FALSE,FALSE,34.14273129,29999-0,2,6,13,13,-124.93463,77.74247562,-1032.424347,1745.954117,18.25119437,FALSE,0
