"","x","y","first_order_residual","isotherm","paleozoic_structure","raw_montney_top","third_order_residual"
"12386",567792.810995538,6313155.60747765,-50.9852738868568,65.6281103900221,-1104.49308880307,1784.59361842673,28.5911537551351
"12387",568292.810995538,6313155.60747765,-51.6821880164615,66.7467086405678,-1101.49484084581,1778.08748046695,27.5915902402069
"12388",568792.810995538,6313155.60747765,-52.5893309742593,68.1562149946528,-1098.28672524661,1770.99218344098,26.3817738984117
"12389",569292.810995538,6313155.60747765,-53.599809795966,69.1941680876721,-1094.975668092,1763.13154595614,25.0685963190012
"12390",569792.810995538,6313155.60747765,-54.5086813627557,69.8771459216988,-1091.76659862595,1754.57214519616,23.8570023761012
"12391",570292.810995538,6313155.60747765,-55.1750383555983,70.3766174957549,-1088.80040514145,1745.48136593351,22.8879012893637
"12392",570792.810995538,6313155.60747765,-55.4423573485496,70.8098107849054,-1086.23365818589,1736.01061407335,22.3178145518657
"12393",571292.810995538,6313155.60747765,-55.3132988811184,71.1668940858272,-1084.06365538272,1726.36616481825,22.1440848710081
"12394",571792.810995538,6313155.60747765,-54.8210707068278,71.4102847659636,-1082.25719276737,1716.64948658324,22.3335050051187
"12395",572292.810995538,6313155.60747765,-54.0755622017099,71.5483181526236,-1080.7044155453,1706.94482643886,22.7761846339644
"12396",572792.810995538,6313155.60747765,-53.2980229628738,71.6079758576694,-1079.18403084169,1697.29249041079,23.250877170475
"12397",573292.810995538,6313155.60747765,-52.6826563102043,71.6571992751973,-1077.50185825178,1687.72916476667,23.5633789395896
"12398",573792.810995538,6313155.60747765,-52.3320859226904,71.7607155314713,-1075.55528071828,1678.57409483709,23.6110668339784
"12399",574292.810995538,6313155.60747765,-51.9498544481188,71.9971299223338,-1073.64072627726,1671.22531351969,23.6904002698615
"12400",574792.810995538,6313155.60747765,-51.125131757967,72.3860663047241,-1072.16906198794,1667.56126363791,24.2122086325407
"12401",525292.810995538,6312655.60747765,185.704415807772,92.3304217543248,-1541.2620461467,2360.46692970122,289.81163635406
"12402",525792.810995538,6312655.60747765,178.056854907423,91.8759211884032,-1531.28140442526,2349.18996210523,281.868784091163
"12403",526292.810995538,6312655.60747765,168.766947178992,91.3086842299784,-1519.65877055512,2334.98729256581,272.283495618674
"12404",526792.810995538,6312655.60747765,157.861765264246,90.6406905208257,-1506.42123415983,2317.88987227261,261.082840062312
"12405",527292.810995538,6312655.60747765,145.438344729322,89.8901059028001,-1491.66584827458,2298.04840071996,248.363849536876
"12406",527792.810995538,6312655.60747765,131.905745538442,89.0636164444607,-1475.80163864096,2276.11016114613,234.535593256012
"12407",528292.810995538,6312655.60747765,117.472561349712,88.1842490749386,-1459.03722963694,2252.3640058671,219.806658170135
"12408",528792.810995538,6312655.60747765,102.358600544949,87.2688933851336,-1441.59241967455,2227.28538783635,204.396855969303
"12409",529292.810995538,6312655.60747765,86.7668996333198,86.3344272944368,-1423.67022474082,2201.32882560365,188.509228844168
"12410",529792.810995538,6312655.60747765,70.9816807358644,85.4024698253631,-1405.55491143295,2174.96612385319,172.42798919851
"12411",530292.810995538,6312655.60747765,55.3546032888027,84.49056581267,-1387.59810174212,2148.75061606928,156.504806172209
"12412",530792.810995538,6312655.60747765,40.1045074226924,83.6186448354503,-1370.01863586221,2122.99929285201,140.958520613251
"12413",531292.810995538,6312655.60747765,25.6372488901589,82.7969381773056,-1353.22240719624,2098.12248383659,126.194980464097
"12414",531792.810995538,6312655.60747765,12.3328433895849,82.0419675545616,-1337.58938708617,2074.34062846558,112.594212423465
"12415",532292.810995538,6312655.60747765,0.668211479179661,81.3630570773116,-1323.59651677885,2051.95407361164,100.6331331197
"12416",532792.810995538,6312655.60747765,-9.04596246435393,80.7658759708548,-1311.5544908285,2031.18796656161,90.6224255390306
"12417",533292.810995538,6312655.60747765,-16.8456419609247,80.2811536158477,-1301.42731507638,2012.31642409572,82.5261337638856
"12418",533792.810995538,6312655.60747765,-22.571517131719,79.9352359904267,-1293.37433386309,1996.61283184529,76.5035609035724
"12419",534292.810995538,6312655.60747765,-26.7924970863839,79.775465628933,-1286.8266207474,1985.98994852215,71.9858025135121
"12420",534792.810995538,6312655.60747765,-30.4059992565992,79.8821806988126,-1280.88674139448,1982.52083308205,68.0754455484388
"12421",535292.810995538,6312655.60747765,-34.3791756871234,80.2312637097899,-1274.58759201264,1989.52332908046,63.8053285365155
"12422",535792.810995538,6312655.60747765,-38.8728759818758,80.7548561434218,-1267.76827812103,2004.57100942516,59.0146122302903
"12423",536292.810995538,6312655.60747765,-43.485156807367,81.2701571821366,-1260.83075045998,2021.30491749692,54.1052391465805
"12424",536792.810995538,6312655.60747765,-47.5333474386322,81.6265913806969,-1254.4577101484,2023.35740128328,49.7598746154571
"12425",537292.810995538,6312655.60747765,-50.7898652080316,81.7562376527316,-1248.87669906394,2012.73923704248,46.2061104805911
"12426",537792.810995538,6312655.60747765,-53.2150977454551,81.745057689863,-1244.12735398945,1999.44570964738,43.4835549431674
"12427",538292.810995538,6312655.60747765,-54.9389640588216,81.7022879536272,-1240.07975876803,1988.3275250384,41.4622893160359
"12428",538792.810995538,6312655.60747765,-56.0156586559378,81.7290641918278,-1236.67969185453,1980.5475393098,40.0881252214414
"12429",539292.810995538,6312655.60747765,-56.1720017534522,81.8828187281989,-1234.20037125311,1977.26478245249,39.6342357861496
"12430",539792.810995538,6312655.60747765,-55.1545546380409,82.2136818782161,-1232.89521094908,1978.9483272877,40.3540653957904
"12431",540292.810995538,6312655.60747765,-52.8040814194681,82.7993611398439,-1232.92343402195,1985.97223261486,42.4068531210257
